CustomerID,Segment,Recency,Frequency,Monetary
12346,Lost,326,1,77183.6
12347,Champions,2,7,4310.0
12348,At Risk,75,4,1437.24
12349,Potential Loyalists,19,1,1457.55
12350,Lost,310,1,294.4
12352,Loyal Customers,36,7,1385.74
12353,Lost,204,1,89.0
12354,Lost,232,1,1079.4
12355,Lost,214,1,459.4
12356,Loyal Customers,23,3,2487.43
12357,Potential Loyalists,33,1,6207.67
12358,Recent Customers,2,2,928.0600000000001
12359,At Risk,58,4,6310.03
12360,At Risk,52,3,2302.06
12361,Lost,287,1,174.9
12362,Champions,3,10,4737.23
12363,At Risk,110,2,552.0
12364,Loyal Customers,8,4,1208.1
12365,Lost,291,1,320.69
12367,Recent Customers,4,1,150.9
12370,Loyal Customers,51,4,3421.94
12371,Lost,60,1,1527.96
12372,At Risk,72,3,1196.04
12373,Lost,311,1,324.6
12374,Potential Loyalists,25,1,622.93
12375,Recent Customers,11,2,377.5
12377,Lost,315,2,1548.12
12378,Lost,130,1,4008.62
12379,At Risk,82,2,777.24
12380,Loyal Customers,22,4,2427.81
12381,Loyal Customers,5,3,1474.81
12383,Need Attention,185,5,1628.56
12384,Potential Loyalists,29,2,425.27000000000004
12386,Lost,338,2,401.9
12388,Champions,16,6,2780.66
12390,Lost,80,1,504.84000000000003
12391,Potential Loyalists,22,1,439.66
12393,At Risk,72,4,1582.6000000000001
12394,At Risk,64,2,1080.48
12395,Loyal Customers,19,12,2682.63
12397,Potential Loyalists,36,2,2214.9
12398,Potential Loyalists,46,1,1435.66
12399,At Risk,119,4,1033.65
12401,Lost,303,1,69.3
12402,Lost,323,1,195.6
12403,Potential Loyalists,50,1,391.7
12405,Lost,149,1,1390.39
12406,Potential Loyalists,22,2,3415.3
12407,Loyal Customers,50,5,1507.1200000000001
12408,Loyal Customers,33,5,2618.55
12409,At Risk,79,3,11072.67
12410,Lost,309,2,533.33
12412,At Risk,75,3,1142.88
12413,At Risk,67,3,686.1
12414,Need Attention,217,3,442.41
12415,Loyal Customers,24,20,124564.53
12417,Champions,3,9,3226.1
12418,Lost,113,1,668.58
12420,Lost,64,1,600.39
12421,Loyal Customers,16,4,639.04
12422,At Risk,96,3,683.5600000000001
12423,Champions,1,8,1634.31
12424,Lost,163,2,1760.96
12425,Lost,78,1,777.2
12426,Lost,195,1,510.73
12427,Loyal Customers,22,3,699.8
12428,Loyal Customers,26,8,6405.26
12429,Loyal Customers,9,4,3388.4
12430,Potential Loyalists,43,1,216.4
12431,Loyal Customers,36,15,6314.95
12432,Loyal Customers,43,4,4359.32
12433,Champions,1,7,13375.87
12434,At Risk,85,2,806.14
12435,At Risk,80,2,7829.89
12436,Lost,100,1,429.01000000000005
12437,Champions,2,18,4447.41
12438,Recent Customers,14,2,2466.85
12441,Lost,367,1,155.55
12442,Recent Customers,3,1,144.06
12444,Loyal Customers,21,5,4085.46
12445,Potential Loyalists,22,1,77.4
12446,Lost,58,1,1002.3100000000001
12447,Lost,243,1,431.49
12448,Potential Loyalists,44,1,365.45
12449,Loyal Customers,22,4,3596.29
12450,Lost,156,2,197.88
12451,Loyal Customers,11,5,8995.52
12452,Recent Customers,17,1,348.57
12453,Lost,134,1,707.09
12454,Lost,56,1,3528.34
12455,At Risk,73,5,2339.86
12456,Loyal Customers,44,3,2581.04
12457,At Risk,66,6,2043.23
12458,At Risk,71,2,787.4
12461,Lost,155,1,626.88
12462,Potential Loyalists,19,2,937.59
12463,At Risk,53,4,1200.78
12464,Champions,10,8,957.05
12465,Recent Customers,17,2,682.1899999999999
12468,Lost,188,2,657.54
12471,Champions,2,27,17388.649999999998
12472,Loyal Customers,32,7,6068.11
12473,At Risk,54,3,2585.73
12474,Champions,17,18,6694.09
12475,Lost,54,1,669.38
12476,Champions,16,11,5898.42
12477,Loyal Customers,23,6,13219.74
12478,Recent Customers,4,1,545.99
12479,Recent Customers,11,1,473.2
12480,Loyal Customers,28,4,2885.63
12481,Loyal Customers,23,10,5003.82
12483,Champions,17,8,1910.98
12484,Loyal Customers,35,4,3939.32
12488,Loyal Customers,10,3,1244.66
12489,Lost,336,1,298.93
12490,Champions,5,10,4859.93
12491,Potential Loyalists,39,1,424.40000000000003
12492,At Risk,63,2,227.21
12493,Lost,166,2,415.74
12494,Champions,16,7,1084.1000000000001
12497,Lost,82,1,953.1
12498,Loyal Customers,21,3,349.70000000000005
12500,Loyal Customers,23,11,4059.82
12501,Lost,337,1,2025.39
12502,At Risk,96,5,2995.87
12504,Recent Customers,18,2,428.04999999999995
