CohortMonth,0,1,2,3,4,5,6,7,8,9,10,11,12
2010-12,1.0,0.365,0.324,0.38299999999999995,0.36199999999999993,0.398,0.36199999999999993,0.348,0.353,0.395,0.373,0.502,0.265
2011-01,1.0,0.21899999999999997,0.267,0.228,0.317,0.288,0.248,0.24,0.296,0.327,0.365,0.118,
2011-02,1.0,0.187,0.187,0.287,0.271,0.245,0.255,0.274,0.247,0.305,0.068,,
2011-03,1.0,0.148,0.252,0.199,0.223,0.168,0.268,0.23,0.279,0.086,,,
2011-04,1.0,0.21,0.203,0.21,0.19699999999999998,0.22699999999999998,0.217,0.26,0.073,,,,
2011-05,1.0,0.19,0.17299999999999996,0.17299999999999996,0.20800000000000002,0.23200000000000004,0.264,0.095,,,,,
2011-06,1.0,0.174,0.157,0.264,0.231,0.331,0.095,,,,,,
2011-07,1.0,0.176,0.203,0.225,0.273,0.11200000000000002,,,,,,,
2011-08,1.0,0.201,0.243,0.243,0.124,,,,,,,,
2011-09,1.0,0.234,0.301,0.114,,,,,,,,,
2011-10,1.0,0.235,0.115,,,,,,,,,,
2011-11,1.0,0.111,,,,,,,,,,,
2011-12,1.0,,,,,,,,,,,,
